    0    0    0 0       0.000 999.000
    0    0    1 1       0.000 102.560
    0    1    0 1       0.000  94.460
    0    1    1 0       0.000  69.481
    0    0    2 0       0.000  51.280
    0    2    0 0       0.000  47.230
    0    1    2 0       0.000  45.067
    0    2    1 0       0.000  42.900
    1    0    0 1       0.000  37.160
    1    0    1 0       0.000  34.937
    0    2    2 1     531.100  34.740
    1    1    0 0       0.000  34.580
    0    0    3 1       0.000  34.187
    1    1    1 1     352.900  32.768
    0    1    3 1     156.700  32.146
    0    3    0 1       0.000  31.487
    0    3    1 1     196.400  30.100
    1    0    2 1     265.500  30.090
    1    2    0 1      45.100  29.204
    1    1    2 2     306.300  28.671
    1    2    1 1     245.200  28.088
    0    2    3 1     109.700  27.693
    0    3    2 1     453.800  26.832
    0    0    4 0       0.000  25.640
    1    2    2 2     328.200  25.377
    1    0    3 1     131.800  25.159
    0    1    4 1      43.600  24.745
    1    1    3 1     310.800  24.312
    1    3    0 1     421.500  24.023
    0    4    0 1     381.000  23.615
    1    3    1 1      39.700  23.390
    0    3    3 1     328.800  23.160
    0    4    1 1      94.900  23.013
    0    2    4 1     392.200  22.534
    1    2    3 1     252.400  22.205
    1    3    2 1     304.500  21.754
    0    4    2 1     227.400  21.450
    1    0    4 1     315.900  21.104
    1    1    4 1     252.200  20.596
    0    0    5 1       0.000  20.512
    0    1    5 1     273.700  20.045
    1    4    0 1     191.600  19.931
    0    3    4 1     101.500  19.882
    1    3    3 1     186.200  19.655
    1    4    1 1     524.400  19.565
    0    4    3 1     346.000  19.430
    1    2    4 1     297.000  19.268
    0    5    0 1       0.000  18.892
    0    2    5 1     100.700  18.814
    2    0    0 1     795.500  18.580
    0    5    1 1      28.800  18.579
    1    4    2 1     140.500  18.577
    2    0    1 1     162.000  18.282
    2    1    0 1     309.500  18.231
    1    0    5 2      77.000  17.958
    2    1    1 1     639.200  17.949
    0    5    2 1      10.900  17.727
    1    1    5 1     298.300  17.642
    1    3    4 1     328.900  17.530
    2    0    2 1     533.800  17.469
    0    4    4 1     420.700  17.370
    2    2    0 1     298.400  17.290
    1    4    3 1     305.500  17.218
    0    3    5 1     254.000  17.187
    2    1    2 1     445.400  17.177
    0    0    6 1     188.200  17.093
    2    2    1 1     490.800  17.050
    1    5    0 1     432.100  16.841
    0    1    6 1      99.600  16.820
    1    2    5 1     230.500  16.785
    1    5    1 1      48.200  16.618
    0    5    3 1     207.000  16.535
    2    2    2 1     403.000  16.384
    2    0    3 1     197.300  16.325
    2    1    3 1     253.300  16.086
    0    2    6 1     166.200  16.073
    2    3    0 1     702.900  16.002
    1    5    2 1     515.500  16.000
    2    3    1 1     308.800  15.810
    0    6    0 1     158.000  15.743
    1    4    4 1     171.100  15.736
    1    3    5 1     508.300  15.599
    0    6    1 1     270.000  15.561
    1    0    6 2     166.200  15.529
    0    4    5 1     763.000  15.486
    2    2    3 1     492.600  15.429
    1    1    6 1      65.100  15.323
    2    3    2 1     395.500  15.275
    0    5    4 1     285.000  15.209
    1    5    3 1     144.000  15.107
    0    6    2 1     354.900  15.050
    2    0    4 1       8.900  15.045
    0    3    6 1     122.000  15.022
    2    1    4 1     289.700  14.858
    1    2    6 1     341.100  14.752
    0    0    7 1       0.000  14.651
    2    4    0 2     230.700  14.602
    1    6    0 1     189.800  14.496
    2    3    3 1     383.000  14.493
    0    1    7 1     404.000  14.478
    2    4    1 1     577.000  14.456
    1    6    1 1     171.900  14.353
    2    2    4 1     334.800  14.335
    0    6    3 1     462.500  14.300
    1    4    5 1     162.600  14.294
    1    5    4 1     290.100  14.076
    2    4    2 1     494.000  14.044
    0    2    7 1     351.100  13.994
    1    6    2 1     304.300  13.949
    1    3    6 1     133.600  13.927
    0    5    5 1      76.600  13.896
    0    4    6 1     388.800  13.847
    2    0    5 1     135.000  13.771
    1    0    7 2     168.300  13.630
    2    1    5 1      70.200  13.627
    2    3    4 1     493.900  13.575
    0    7    0 1       0.000  13.494
    1    1    7 1     134.600  13.491
    2    4    3 1     288.500  13.429
    0    6    4 1     394.700  13.416
    0    7    1 1     143.800  13.379
    1    6    3 1     624.000  13.346
    0    3    7 1     429.000  13.284
    2    5    0 1      57.100  13.247
    2    2    5 1     370.600  13.220
    2    5    1 1     368.800  13.138
    1    2    7 1     165.300  13.096
    0    7    2 1     545.000  13.050
    1    5    5 1     175.400  13.016
    1    4    6 1     739.700  12.975
    2    5    2 1     394.500  12.826
    0    0    8 0       0.000  12.820
    0    1    8 2      64.700  12.704
    2    4    4 1     299.500  12.689
    1    7    0 1     214.800  12.684
    0    5    6 1     843.400  12.675
    1    6    4 1     281.000  12.619
    2    3    5 1     355.700  12.617
    1    7    1 1     260.900  12.588
    2    0    6 1     211.700  12.580
    0    7    3 1     732.900  12.552
    1    3    7 1     202.900  12.509
    0    6    5 1     336.800  12.489
    2    1    6 1     311.900  12.470
    0    4    7 1     199.700  12.450
    3    0    0 1       0.000  12.387
    0    2    8 1     116.700  12.372
    2    5    3 1     506.400  12.352
    1    7    2 1     226.600  12.313
    3    0    1 1     613.800  12.297
    3    1    0 1     695.200  12.282
    3    1    1 1     404.900  12.194
    2    2    6 1     226.600  12.156
    1    0    8 1      95.900  12.119
    3    0    2 1     302.200  12.040
    1    1    8 1     130.900  12.021
    2    6    0 1      18.000  12.011
    1    5    6 1     181.800  11.996
    3    2    0 1     422.600  11.981
    3    1    2 1     518.500  11.944
    0    7    4 1     473.600  11.941
    2    6    1 1     175.500  11.930
    3    2    1 1     369.800  11.901
    2    4    5 1     772.600  11.896
    1    7    3 1     514.600  11.892
    0    3    8 1      47.700  11.874
    1    6    5 1     247.200  11.838
    0    8    0 1      77.900  11.807
    1    4    7 1     178.000  11.805
    2    5    4 1     150.000  11.769
    1    2    8 1     167.800  11.739
    0    8    1 1     257.300  11.730
    2    6    2 1     376.800  11.695
    2    3    6 1     575.700  11.682
    3    2    2 1     631.400  11.667
    3    0    3 1     881.400  11.646
    0    6    6 1     317.400  11.580
    0    5    7 1     378.000  11.578
    3    1    3 1     375.200  11.558
    3    3    0 1    1003.600  11.527
    0    8    2 1     277.100  11.506
    2    0    7 1     301.400  11.505
    3    3    1 1     741.500  11.455
    2    1    7 1     109.200  11.420
    0    0    9 1       0.000  11.396
    1    7    4 1     843.200  11.369
    2    6    3 1     177.000  11.332
    0    1    9 1     275.900  11.314
    1    3    8 1     160.800  11.310
    3    2    3 1     480.700  11.307
    0    7    5 1     662.500  11.273
    0    4    8 1     608.500  11.267
    1    8    0 1      81.500  11.253
    3    3    2 1     562.800  11.246
    1    8    1 1     305.300  11.186
    2    2    7 1     253.000  11.178
    0    8    3 1     382.100  11.161
    3    0    4 1     870.000  11.153
    2    5    5 1     745.700  11.128
    2    4    6 1     281.400  11.103
    0    2    9 1     241.400  11.078
    3    1    4 1     598.100  11.076
    1    6    6 1     155.000  11.056
    1    5    7 1     861.700  11.054
    1    8    2 1     453.100  10.992
    3    4    0 1     980.500  10.969
    3    3    3 1     524.500  10.923
    2    7    0 1     276.900  10.918
    3    4    1 1     759.800  10.907
    1    0    9 1      84.300  10.895
    2    6    4 1     872.600  10.877
    2    7    1 1     174.400  10.857
    3    2    4 1     355.000  10.855
    1    1    9 1     119.800  10.823
    2    3    7 1     165.500  10.806
    1    7    5 1     252.800  10.788
    1    4    8 1     279.000  10.782
    3    4    2 1     454.600  10.727
    0    6    7 1     988.800  10.725
    0    8    4 1     617.000  10.725
    0    3    9 1     117.300  10.715
    1    8    3 1     114.600  10.689
    2    7    2 1      92.500  10.679
    1    2    9 1     137.200  10.616
    0    5    8 1     387.100  10.608
    3    0    5 1     350.400  10.603
    0    7    6 1     648.000  10.592
    2    0    8 1      34.500  10.552
    3    1    5 1     481.700  10.537
    3    3    4 1     596.700  10.513
    0    9    0 1       0.000  10.496
    2    1    8 1     112.200  10.487
    2    5    6 1     829.800  10.471
    3    4    3 1     838.100  10.445
    0    9    1 1      84.100  10.441
    2    7    3 1     323.200  10.401
    2    6    5 1     465.700  10.365
    3    5    0 1     174.800  10.359
    3    2    5 1     477.000  10.346
    2    4    7 1     716.500  10.343
    3    5    1 1     579.000  10.306
    1    6    7 1     263.400  10.305
    1    8    4 1     596.700  10.304
    2    2    8 1     121.700  10.298
    1    3    9 1     273.200  10.296
    0    9    2 1     209.200  10.282
    0    4    9 1     173.500  10.263
    0    0   10 1       6.800  10.256
    0    8    5 1     668.600  10.233
    1    5    8 1     360.300  10.201
    0    1   10 1     207.900  10.196
    1    7    6 1     329.900  10.186
    3    5    2 1     561.500  10.154
    1    9    0 1     272.700  10.100
    3    4    4 1     509.200  10.085
    1    9    1 1     254.100  10.052
    3    3    5 1     483.700  10.049
    2    7    4 1     249.100  10.046
    0    9    3 1      13.800  10.033
    3    0    6 1      88.900  10.030
    0    2   10 1     151.100  10.022
    2    3    8 1     218.100  10.005
    3    1    6 1     126.300   9.974
    2    8    0 1     425.500   9.965
    0    6    8 1     208.600   9.941
    0    7    7 1     562.900   9.926
    2    8    1 1      70.600   9.919
    3    5    3 1     429.100   9.914
    1    9    2 1     132.200   9.910
    1    4    9 1     181.700   9.893
    1    0   10 1      73.000   9.886
    1    8    5 1     973.500   9.866
    1    1   10 1     172.300   9.833
    2    6    6 1    1073.700   9.828
    2    5    7 1     403.000   9.826
    3    2    6 1     371.800   9.811
    2    8    2 1     293.800   9.782
    0    5    9 1     623.200   9.758
    0    3   10 1     307.100   9.752
    3    6    0 1      57.300   9.735
    0    8    6 1     661.200   9.715
    2    0    9 1      44.400   9.714
    0    9    4 1     244.200   9.713
    3    6    1 1      56.700   9.691
    1    9    3 1     531.500   9.686
    1    2   10 1     226.600   9.677
    3    4    5 1     639.800   9.673
    2    1    9 1     151.800   9.663
    2    7    5 1    1050.100   9.638
    2    4    8 1     258.300   9.634
    3    5    4 1     757.900   9.604
    1    6    8 1     767.700   9.603
    1    7    7 1      42.800   9.590
    2    8    3 1     114.000   9.567
    3    6    2 1     590.700   9.564
    3    3    6 1     264.100   9.557
    2    2    9 1      52.700   9.515
    3    0    7 1      80.300   9.459
    0   10    0 1      49.200   9.446
    1    5    9 1     379.200   9.438
    1    3   10 1     169.400   9.432
    3    1    7 1     243.600   9.412
    0    4   10 1     143.700   9.407
    0   10    1 1     109.600   9.406
    1    8    6 1     265.500   9.399
    1    9    4 1     168.400   9.398
    3    6    3 1     803.000   9.363
    0    9    5 1     520.600   9.343
    0    0   11 1       0.000   9.324
    0    7    8 1    1005.000   9.294
    4    0    0 0       0.000   9.290
