       0, 0.694, 0.695, 0.697, 0.697, 0.696, 0.694, 0.696, 0.694, 0.696, 0.696, 0.692, 0.696, 0.697, 0.693, 0.697, 0.695, 0.696, 0.695, 0.696, 0.696, 0.695, 0.695, 0.697, 0.694, 0.698, 0.697, 0.694, 0.697, 0.695, 0.695, 0.697, 0.696, 0.694, 0.695, 0.693, 0.696, 0.696, 0.695, 0.698, 0.693, 0.694, 0.693, 0.694, 0.698, 0.699, 0.692, 0.697, 0.697, 0.697, 0.697, 0.695, 0.694, 0.697, 0.698, 0.694, 0.695, 0.694, 0.695, 0.699, 0.697, 0.698, 0.692, 0.694, 0.696, 0.695, 0.695, 0.694, 0.694, 0.701, 0.693, 0.694, 0.697, 0.694, 0.697, 0.694, 0.695, 0.697, 0.696, 0.692, 0.696, 0.693, 0.697, 0.697, 0.694, 0.696, 0.694, 0.695, 0.696, 0.695, 0.696, 0.700, 0.696, 0.697, 0.696, 0.694, 0.695, 0.692, 0.695, 0.696, 0.696
      20, 0.711, 0.708, 0.708, 0.702, 0.713, 0.710, 0.709, 0.713, 0.710, 0.715, 0.709, 0.702, 0.705, 0.705, 0.715, 0.708, 0.708, 0.709, 0.704, 0.709, 0.709, 0.710, 0.708, 0.709, 0.709, 0.709, 0.710, 0.710, 0.708, 0.714, 0.706, 0.710, 0.708, 0.713, 0.714, 0.711, 0.714, 0.705, 0.705, 0.707, 0.711, 0.707, 0.704, 0.707, 0.710, 0.712, 0.711, 0.711, 0.711, 0.711, 0.712, 0.708, 0.712, 0.709, 0.712, 0.709, 0.709, 0.713, 0.714, 0.711, 0.718, 0.708, 0.711, 0.710, 0.709, 0.712, 0.706, 0.709, 0.710, 0.711, 0.708, 0.713, 0.714, 0.710, 0.707, 0.706, 0.706, 0.710, 0.706, 0.707, 0.706, 0.709, 0.713, 0.714, 0.706, 0.708, 0.713, 0.704, 0.710, 0.709, 0.706, 0.708, 0.716, 0.708, 0.707, 0.708, 0.704, 0.715, 0.706, 0.705
      40, 0.729, 0.712, 0.723, 0.721, 0.722, 0.720, 0.722, 0.727, 0.719, 0.732, 0.727, 0.721, 0.722, 0.718, 0.729, 0.719, 0.720, 0.726, 0.717, 0.724, 0.729, 0.723, 0.721, 0.725, 0.719, 0.726, 0.720, 0.726, 0.723, 0.726, 0.726, 0.726, 0.727, 0.726, 0.732, 0.722, 0.726, 0.720, 0.721, 0.720, 0.725, 0.722, 0.721, 0.723, 0.728, 0.722, 0.721, 0.719, 0.718, 0.725, 0.727, 0.721, 0.728, 0.724, 0.725, 0.723, 0.726, 0.728, 0.723, 0.725, 0.731, 0.726, 0.722, 0.726, 0.724, 0.724, 0.717, 0.721, 0.723, 0.723, 0.726, 0.730, 0.727, 0.723, 0.722, 0.724, 0.719, 0.724, 0.723, 0.725, 0.731, 0.721, 0.727, 0.726, 0.725, 0.726, 0.722, 0.720, 0.721, 0.729, 0.729, 0.722, 0.727, 0.719, 0.727, 0.724, 0.724, 0.731, 0.719, 0.721
      60, 0.737, 0.721, 0.723, 0.727, 0.728, 0.728, 0.731, 0.726, 0.729, 0.736, 0.727, 0.724, 0.733, 0.731, 0.736, 0.730, 0.718, 0.731, 0.724, 0.735, 0.729, 0.726, 0.730, 0.731, 0.727, 0.731, 0.724, 0.735, 0.727, 0.730, 0.727, 0.732, 0.731, 0.733, 0.740, 0.730, 0.740, 0.730, 0.729, 0.720, 0.727, 0.727, 0.727, 0.728, 0.732, 0.727, 0.730, 0.730, 0.730, 0.730, 0.733, 0.727, 0.738, 0.728, 0.734, 0.733, 0.734, 0.734, 0.731, 0.730, 0.736, 0.733, 0.724, 0.734, 0.726, 0.728, 0.722, 0.728, 0.734, 0.731, 0.728, 0.733, 0.734, 0.730, 0.730, 0.731, 0.719, 0.731, 0.730, 0.726, 0.732, 0.725, 0.735, 0.735, 0.730, 0.728, 0.725, 0.729, 0.725, 0.732, 0.728, 0.723, 0.734, 0.726, 0.733, 0.731, 0.728, 0.733, 0.726, 0.728
      80, 0.744, 0.728, 0.731, 0.731, 0.728, 0.727, 0.733, 0.728, 0.730, 0.738, 0.733, 0.726, 0.736, 0.731, 0.736, 0.732, 0.725, 0.738, 0.730, 0.732, 0.735, 0.732, 0.734, 0.732, 0.730, 0.733, 0.724, 0.733, 0.730, 0.735, 0.731, 0.737, 0.735, 0.734, 0.739, 0.737, 0.744, 0.729, 0.732, 0.730, 0.735, 0.735, 0.729, 0.729, 0.735, 0.731, 0.733, 0.731, 0.730, 0.731, 0.736, 0.729, 0.742, 0.728, 0.733, 0.739, 0.735, 0.739, 0.730, 0.735, 0.739, 0.734, 0.729, 0.743, 0.732, 0.728, 0.724, 0.735, 0.730, 0.724, 0.732, 0.742, 0.732, 0.734, 0.732, 0.734, 0.732, 0.738, 0.734, 0.734, 0.737, 0.728, 0.741, 0.742, 0.734, 0.733, 0.729, 0.728, 0.732, 0.736, 0.732, 0.722, 0.732, 0.720, 0.730, 0.731, 0.730, 0.741, 0.730, 0.725
     100, 0.744, 0.723, 0.731, 0.737, 0.730, 0.726, 0.733, 0.734, 0.734, 0.740, 0.741, 0.728, 0.735, 0.726, 0.731, 0.732, 0.723, 0.734, 0.726, 0.734, 0.740, 0.728, 0.732, 0.734, 0.736, 0.734, 0.728, 0.734, 0.730, 0.737, 0.727, 0.740, 0.733, 0.736, 0.737, 0.737, 0.740, 0.729, 0.734, 0.727, 0.734, 0.736, 0.730, 0.726, 0.733, 0.732, 0.730, 0.733, 0.729, 0.724, 0.734, 0.730, 0.739, 0.733, 0.731, 0.738, 0.738, 0.739, 0.736, 0.732, 0.739, 0.735, 0.723, 0.735, 0.725, 0.728, 0.722, 0.733, 0.730, 0.731, 0.731, 0.736, 0.739, 0.731, 0.729, 0.735, 0.731, 0.737, 0.731, 0.734, 0.736, 0.728, 0.734, 0.744, 0.735, 0.736, 0.731, 0.730, 0.731, 0.736, 0.741, 0.733, 0.735, 0.725, 0.734, 0.733, 0.729, 0.736, 0.732, 0.725
     120, 0.744, 0.726, 0.732, 0.736, 0.729, 0.730, 0.736, 0.731, 0.726, 0.735, 0.736, 0.726, 0.734, 0.729, 0.735, 0.728, 0.723, 0.733, 0.726, 0.732, 0.736, 0.730, 0.732, 0.736, 0.721, 0.730, 0.724, 0.739, 0.731, 0.732, 0.729, 0.737, 0.733, 0.734, 0.736, 0.738, 0.742, 0.725, 0.731, 0.720, 0.735, 0.739, 0.729, 0.726, 0.736, 0.730, 0.734, 0.731, 0.726, 0.728, 0.726, 0.737, 0.739, 0.736, 0.730, 0.735, 0.734, 0.735, 0.730, 0.736, 0.738, 0.732, 0.725, 0.739, 0.729, 0.732, 0.730, 0.734, 0.735, 0.736, 0.728, 0.738, 0.734, 0.733, 0.734, 0.734, 0.728, 0.734, 0.732, 0.734, 0.733, 0.729, 0.731, 0.739, 0.731, 0.733, 0.725, 0.729, 0.729, 0.727, 0.738, 0.727, 0.734, 0.724, 0.739, 0.735, 0.724, 0.740, 0.733, 0.727
     140, 0.743, 0.725, 0.735, 0.734, 0.728, 0.724, 0.729, 0.736, 0.730, 0.733, 0.733, 0.732, 0.738, 0.732, 0.729, 0.726, 0.729, 0.728, 0.729, 0.734, 0.735, 0.727, 0.728, 0.730, 0.724, 0.739, 0.723, 0.735, 0.729, 0.734, 0.735, 0.738, 0.729, 0.733, 0.738, 0.731, 0.733, 0.732, 0.729, 0.720, 0.737, 0.731, 0.728, 0.722, 0.740, 0.725, 0.728, 0.727, 0.726, 0.725, 0.728, 0.732, 0.739, 0.734, 0.730, 0.728, 0.733, 0.734, 0.735, 0.732, 0.736, 0.739, 0.733, 0.735, 0.726, 0.730, 0.731, 0.735, 0.728, 0.727, 0.731, 0.732, 0.730, 0.730, 0.733, 0.733, 0.726, 0.731, 0.727, 0.733, 0.736, 0.727, 0.731, 0.736, 0.733, 0.735, 0.724, 0.728, 0.730, 0.730, 0.738, 0.728, 0.730, 0.723, 0.730, 0.738, 0.726, 0.736, 0.735, 0.737
     160, 0.739, 0.720, 0.726, 0.730, 0.731, 0.722, 0.730, 0.723, 0.727, 0.734, 0.740, 0.726, 0.736, 0.727, 0.731, 0.724, 0.726, 0.732, 0.726, 0.728, 0.734, 0.734, 0.732, 0.731, 0.724, 0.726, 0.722, 0.734, 0.731, 0.735, 0.730, 0.732, 0.738, 0.727, 0.736, 0.728, 0.738, 0.722, 0.728, 0.721, 0.726, 0.730, 0.722, 0.722, 0.732, 0.728, 0.726, 0.730, 0.730, 0.722, 0.726, 0.725, 0.732, 0.732, 0.730, 0.738, 0.731, 0.726, 0.729, 0.731, 0.731, 0.733, 0.731, 0.734, 0.724, 0.731, 0.729, 0.731, 0.727, 0.729, 0.733, 0.731, 0.730, 0.728, 0.730, 0.734, 0.723, 0.728, 0.726, 0.726, 0.734, 0.730, 0.731, 0.735, 0.736, 0.737, 0.727, 0.735, 0.728, 0.721, 0.735, 0.728, 0.728, 0.721, 0.732, 0.739, 0.724, 0.733, 0.733, 0.729
     180, 0.738, 0.720, 0.731, 0.731, 0.725, 0.717, 0.731, 0.726, 0.734, 0.731, 0.733, 0.727, 0.732, 0.738, 0.732, 0.724, 0.730, 0.728, 0.720, 0.728, 0.729, 0.726, 0.727, 0.726, 0.730, 0.726, 0.726, 0.732, 0.726, 0.736, 0.735, 0.734, 0.730, 0.725, 0.731, 0.725, 0.732, 0.723, 0.724, 0.716, 0.730, 0.726, 0.727, 0.717, 0.732, 0.725, 0.723, 0.725, 0.726, 0.723, 0.728, 0.726, 0.729, 0.735, 0.725, 0.733, 0.726, 0.722, 0.723, 0.738, 0.728, 0.732, 0.731, 0.730, 0.721, 0.722, 0.723, 0.728, 0.731, 0.732, 0.735, 0.730, 0.727, 0.726, 0.723, 0.730, 0.727, 0.730, 0.726, 0.735, 0.729, 0.729, 0.724, 0.727, 0.727, 0.732, 0.722, 0.733, 0.728, 0.725, 0.725, 0.725, 0.725, 0.720, 0.728, 0.729, 0.720, 0.730, 0.724, 0.734
