       0, 0.008, 0.005,-0.007, 0.002,-0.016, 0.008,-0.003,-0.012,-0.002, 0.002,-0.011, 0.013, 0.007, 0.005,-0.012,-0.003, 0.004,-0.015, 0.012, 0.012,-0.001,-0.011, 0.010, 0.014,-0.006,-0.003, 0.001,-0.022,-0.008, 0.000,-0.003, 0.007, 0.005,-0.008,-0.025, 0.015,-0.013, 0.002,-0.002, 0.008, 0.009,-0.002,-0.004, 0.014,-0.003,-0.006,-0.029,-0.014,-0.006,-0.024, 0.015, 0.006,-0.000,-0.007, 0.002, 0.003, 0.001,-0.002, 0.001, 0.011, 0.001,-0.002, 0.001,-0.013,-0.018, 0.004,-0.010,-0.008, 0.004,-0.003,-0.005,-0.005,-0.002,-0.001, 0.011, 0.002,-0.002,-0.002,-0.007, 0.007,-0.000, 0.007,-0.004,-0.002,-0.004,-0.003, 0.000,-0.005, 0.008,-0.013, 0.009, 0.004,-0.002, 0.002, 0.011,-0.005,-0.000, 0.006, 0.003,-0.002
      20, 0.009, 0.006,-0.016, 0.012,-0.024, 0.001, 0.014,-0.019, 0.007,-0.007,-0.002, 0.001, 0.003, 0.013,-0.008, 0.011,-0.005,-0.005,-0.012, 0.066, 0.000, 0.017,-0.001, 0.026,-0.015,-0.012,-0.005,-0.008,-0.012, 0.018, 0.032, 0.015,-0.006,-0.021, 0.002,-0.000,-0.019,-0.047,-0.001,-0.005, 0.001,-0.015, 0.006,-0.023, 0.005, 0.000,-0.020, 0.009, 0.013,-0.009, 0.003,-0.018,-0.037, 0.007,-0.013, 0.008,-0.010,-0.017,-0.013, 0.005,-0.003,-0.005,-0.001,-0.003, 0.012, 0.005, 0.014,-0.040,-0.007,-0.005,-0.016,-0.000,-0.022,-0.003,-0.001, 0.016,-0.020,-0.023,-0.001, 0.020, 0.022, 0.004, 0.030, 0.004, 0.005, 0.007, 0.003,-0.010,-0.023, 0.007, 0.000, 0.017,-0.014, 0.025, 0.015, 0.014, 0.002,-0.014,-0.003, 0.011
      40, 0.007, 0.024,-0.009, 0.004,-0.029, 0.024,-0.021, 0.004, 0.006, 0.013,-0.006, 0.013,-0.009, 0.040, 0.002, 0.014,-0.024,-0.000,-0.024, 0.050,-0.003, 0.019,-0.006,-0.015, 0.016, 0.020,-0.008,-0.019, 0.010,-0.016, 0.023,-0.009, 0.010,-0.019, 0.014, 0.001,-0.006, 0.001, 0.000, 0.007,-0.007,-0.024, 0.030,-0.026,-0.002,-0.015, 0.019, 0.009, 0.014,-0.013, 0.009, 0.003,-0.024,-0.011, 0.008, 0.002,-0.015,-0.019, 0.001, 0.000,-0.015, 0.009,-0.003,-0.013, 0.002, 0.023, 0.026, 0.025,-0.029, 0.008,-0.010,-0.001,-0.021, 0.004,-0.006, 0.029,-0.042, 0.002,-0.026, 0.026, 0.011, 0.027,-0.013, 0.011,-0.010, 0.014, 0.020,-0.002, 0.003,-0.006, 0.008, 0.046,-0.008, 0.026,-0.005,-0.009,-0.003,-0.009,-0.009, 0.009
      60, 0.005,-0.009,-0.001,-0.005,-0.026, 0.014,-0.011, 0.012,-0.017,-0.016, 0.004,-0.019,-0.009, 0.002, 0.005, 0.014,-0.011,-0.040,-0.011, 0.013, 0.009, 0.013, 0.012,-0.009,-0.000, 0.015,-0.001,-0.010, 0.004,-0.006,-0.005,-0.005, 0.013,-0.013,-0.015, 0.006,-0.003,-0.032,-0.002, 0.013, 0.011,-0.009,-0.020,-0.013, 0.005,-0.023,-0.006, 0.017,-0.008,-0.012,-0.008, 0.006,-0.001, 0.012, 0.002, 0.015, 0.022,-0.017, 0.026,-0.005,-0.003,-0.018, 0.008,-0.006,-0.000,-0.001,-0.007, 0.032,-0.009,-0.015, 0.018, 0.018,-0.009, 0.004, 0.015, 0.005,-0.015,-0.007,-0.006, 0.031, 0.011, 0.014, 0.002,-0.003, 0.015, 0.020,-0.021, 0.003,-0.014,-0.026, 0.001, 0.053,-0.006, 0.018, 0.014,-0.008, 0.010, 0.013,-0.013, 0.016
      80, 0.006, 0.016,-0.000, 0.009,-0.048, 0.005,-0.026, 0.010,-0.010, 0.034,-0.004, 0.007,-0.003, 0.020, 0.008,-0.010,-0.001,-0.010,-0.011,-0.024, 0.017,-0.000,-0.000, 0.025, 0.024, 0.036, 0.013, 0.036,-0.003, 0.003,-0.003,-0.016, 0.013,-0.016, 0.019, 0.011, 0.004,-0.009,-0.018, 0.017, 0.007,-0.004,-0.006, 0.032, 0.008,-0.024, 0.034, 0.008,-0.016,-0.032,-0.018,-0.004, 0.014, 0.015,-0.010,-0.016, 0.023, 0.001, 0.002,-0.014,-0.016,-0.003, 0.000,-0.012,-0.006, 0.019, 0.000, 0.012,-0.008,-0.005,-0.004,-0.004, 0.016, 0.007, 0.013,-0.009,-0.011,-0.021, 0.031, 0.010, 0.006, 0.007,-0.015,-0.019, 0.002,-0.006,-0.000, 0.015, 0.008,-0.012,-0.013, 0.080,-0.015, 0.031,-0.018, 0.003,-0.010, 0.035,-0.003, 0.000
     100, 0.030, 0.023, 0.014, 0.000,-0.004, 0.007,-0.030, 0.018,-0.012, 0.024,-0.006,-0.010, 0.009, 0.009, 0.038, 0.003, 0.002,-0.003, 0.001,-0.036,-0.006, 0.006, 0.019, 0.019,-0.001,-0.018, 0.016, 0.015,-0.001, 0.008, 0.003,-0.019,-0.009, 0.025, 0.005, 0.016, 0.007,-0.007, 0.000, 0.002, 0.020,-0.018,-0.015,-0.015,-0.011,-0.049, 0.010,-0.002,-0.009,-0.021,-0.015, 0.003,-0.000, 0.013,-0.006, 0.004, 0.034,-0.022, 0.005,-0.007,-0.014,-0.001, 0.004,-0.009,-0.017, 0.003, 0.007,-0.016, 0.012, 0.006,-0.004, 0.010, 0.002, 0.004, 0.010, 0.008,-0.009,-0.009, 0.008, 0.036, 0.016,-0.002,-0.026,-0.003,-0.006,-0.006, 0.007,-0.013, 0.018,-0.008,-0.015, 0.057,-0.005, 0.013, 0.014, 0.014,-0.027, 0.009,-0.013, 0.038
     120,-0.021, 0.009, 0.008, 0.024,-0.003, 0.011,-0.015, 0.026,-0.010, 0.035,-0.001, 0.006,-0.012,-0.015, 0.003, 0.014,-0.011,-0.030, 0.003,-0.011,-0.009, 0.007, 0.008, 0.007,-0.023, 0.000,-0.037, 0.016, 0.013,-0.014,-0.017,-0.026, 0.009,-0.003, 0.009, 0.006,-0.010,-0.014, 0.015, 0.015, 0.000, 0.001, 0.022,-0.028, 0.027,-0.054, 0.006,-0.000,-0.004, 0.029,-0.016, 0.014, 0.015,-0.002,-0.007,-0.009,-0.019,-0.056,-0.030, 0.023, 0.016, 0.026, 0.001,-0.005,-0.001,-0.041, 0.001,-0.014, 0.003,-0.016, 0.007, 0.016, 0.008, 0.007,-0.001,-0.012,-0.014, 0.011,-0.006, 0.026, 0.004, 0.001, 0.010, 0.004,-0.002, 0.000, 0.015, 0.019,-0.015,-0.016, 0.002, 0.049, 0.016, 0.001,-0.007, 0.010,-0.007, 0.029,-0.000, 0.006
     140,-0.009, 0.004,-0.016, 0.012,-0.003, 0.013,-0.028, 0.008, 0.011, 0.024,-0.004,-0.009, 0.028,-0.013, 0.015,-0.012, 0.016,-0.026,-0.007,-0.010,-0.012, 0.000, 0.029, 0.019,-0.019,-0.011,-0.001, 0.012, 0.029, 0.007,-0.025,-0.037,-0.017, 0.009,-0.002, 0.009,-0.014,-0.001, 0.014, 0.019, 0.020,-0.001,-0.001, 0.020,-0.004,-0.038, 0.006, 0.017, 0.006,-0.017, 0.010,-0.002, 0.001, 0.022,-0.012,-0.017,-0.008,-0.021,-0.055,-0.001,-0.014, 0.005,-0.010,-0.002,-0.009, 0.002,-0.006,-0.039, 0.021,-0.030,-0.004, 0.008,-0.001,-0.001, 0.001,-0.020, 0.009, 0.039, 0.033, 0.003,-0.021, 0.013, 0.019,-0.015,-0.008,-0.018, 0.006,-0.000,-0.001,-0.020,-0.009, 0.046, 0.004,-0.003, 0.019, 0.009,-0.014,-0.017, 0.010,-0.015
     160, 0.021, 0.025,-0.000, 0.000,-0.029, 0.016,-0.013,-0.000, 0.023, 0.038,-0.015, 0.000, 0.009,-0.033, 0.035, 0.005,-0.004, 0.014, 0.002, 0.013,-0.013,-0.016, 0.007, 0.012,-0.019, 0.006,-0.019, 0.000, 0.006,-0.016,-0.018,-0.018,-0.011, 0.002, 0.010, 0.001,-0.014, 0.015, 0.022, 0.014, 0.025, 0.000,-0.021, 0.063,-0.011,-0.017, 0.010,-0.003, 0.003, 0.023,-0.007,-0.009,-0.002,-0.002, 0.017,-0.009, 0.019,-0.050,-0.011,-0.026, 0.005,-0.014, 0.010,-0.008,-0.006,-0.015,-0.010, 0.007,-0.003, 0.001, 0.006, 0.003, 0.013, 0.006,-0.021,-0.019,-0.001, 0.011, 0.015, 0.034, 0.001, 0.004,-0.011, 0.002, 0.013, 0.011, 0.018, 0.012, 0.001,-0.003,-0.032, 0.010,-0.014,-0.009, 0.008,-0.003, 0.011,-0.009, 0.012, 0.005
     180,-0.003, 0.017, 0.006, 0.004,-0.011, 0.008,-0.012, 0.002,-0.016, 0.001, 0.022, 0.012, 0.005,-0.007, 0.038,-0.023, 0.001, 0.029, 0.019, 0.014,-0.001, 0.009, 0.010, 0.064,-0.020, 0.012, 0.009, 0.021,-0.005,-0.024,-0.015,-0.005,-0.011,-0.024,-0.010,-0.016,-0.010,-0.001, 0.009,-0.001, 0.036, 0.010,-0.006, 0.079,-0.000,-0.019, 0.016,-0.013, 0.026,-0.022,-0.002,-0.003,-0.002, 0.014,-0.000,-0.007,-0.000,-0.035,-0.041, 0.003, 0.030, 0.013,-0.008,-0.007,-0.001,-0.029,-0.012, 0.029, 0.002, 0.008, 0.009, 0.004,-0.004,-0.022, 0.017,-0.013, 0.002, 0.016, 0.031, 0.039,-0.003, 0.002,-0.024, 0.002, 0.011, 0.001, 0.016, 0.001,-0.013,-0.001, 0.009, 0.022,-0.003, 0.001, 0.003, 0.006, 0.019,-0.005,-0.032, 0.026
