    1    0    0 0      0.0    0.0 125.241
    1    1    0 0      0.0    0.0  88.559
    1    0    1 0      0.0    0.0  86.278
    1    1    1 0      0.0    0.0  71.050
    2    0    0 1   2401.3   78.9  62.620
    2    1    0 1   7227.1  352.5  56.009
    2    0    1 1   4280.2   65.3  55.419
    1    0    2 0      0.0    0.0  53.753
    2    1    1 1   4200.7   48.1  50.679
    1    1    2 2   3420.2   55.4  49.395
    2    2    0 0      0.0    0.0  44.279
    2    0    2 1   1747.1   28.8  43.139
    3    0    0 1   2447.7   46.2  41.747
    2    2    1 1   4770.0   77.3  41.501
    2    1    2 1   1762.1   20.5  40.787
    3    1    0 1   1697.2   22.9  39.605
    3    0    1 1   2587.2   34.5  39.394
    1    0    3 1   2366.1   32.8  37.823
    3    1    1 1   2419.9   23.3  37.579
    1    1    3 1   1942.3   28.4  36.208
    2    2    2 1   3128.2   48.1  35.525
    3    2    0 1    244.4    5.2  34.736
    3    0    2 1   1033.8   15.6  34.177
    2    0    3 1   1592.1   23.6  33.515
    3    2    1 1   2557.0   27.9  33.345
    3    1    2 1   1036.6   11.1  32.971
    2    1    3 1   1501.9   16.6  32.376
    4    0    0 1   1580.8   30.4  31.310
    4    1    0 1   4941.8   65.4  30.375
    4    0    1 1    833.6   11.6  30.280
    3    2    2 1   1344.3   15.1  30.000
    0    0    4 1   1110.8   26.1  29.756
    2    2    3 1    323.4    5.8  29.549
    3    3    0 1   2230.2   52.1  29.520
    4    1    1 1   2109.3   20.0  29.432
    1    0    4 1    494.4    7.1  28.951
    3    0    3 1   3115.8   47.9  28.759
    3    3    1 1   1320.2   22.3  28.652
    1    1    4 1    557.4    8.7  28.207
    3    1    3 1   2447.9   26.0  28.030
    4    2    0 1    479.4    7.9  28.005
    4    0    2 1    216.0    3.8  27.709
    4    2    1 1   1091.4   12.4  27.260
    4    1    2 1   1874.2   18.7  27.055
    2    0    4 1   1164.8   16.6  26.876
    3    3    2 1   1721.4   27.0  26.445
    2    1    4 1   1462.5   14.6  26.278
    3    2    3 1   2585.0   28.2  26.135
    4    2    2 1    815.0    9.2  25.339
    4    3    0 1   2513.8   41.5  25.048
    5    0    0 1    254.2    6.2  25.048
    2    2    4 1    740.0   12.0  24.698
    4    0    3 1   2256.8   31.5  24.579
    5    1    0 1    112.4    4.0  24.562
    5    0    1 1   3053.3   40.7  24.511
    4    3    1 1   1013.7   12.3  24.511
    3    0    4 1   3677.2   56.3  24.231
    4    1    3 1   1637.1   17.3  24.119
    5    1    1 1   1678.0   16.1  24.055
    3    1    4 1   1984.6   20.1  23.790
    3    3    3 1   1435.5   21.5  23.683
    1    0    5 1    268.0    4.2  23.386
    5    2    0 1    668.3    9.6  23.257
    5    0    2 1    532.8    7.8  23.087
    4    3    2 1   1692.6   18.9  23.087
    1    1    5 1   1270.5   17.3  22.989
    4    2    3 1    390.0    4.8  22.879
    5    2    1 1   2671.4   25.9  22.825
    5    1    2 1   1672.7   16.0  22.704
    3    2    4 1   2223.5   23.7  22.598
    2    0    5 1    123.8    3.0  22.252
    4    4    0 1   1424.4   34.2  22.140
    2    1    5 1    821.2    8.3  21.908
    4    4    1 1   1428.2   24.1  21.766
    5    2    2 1   1114.0   11.4  21.661
    4    0    4 1    333.1    6.9  21.569
    5    3    0 1   1664.7   27.9  21.479
    4    1    4 1   1287.2   13.7  21.256
    5    0    3 1    324.8    5.3  21.180
    4    3    3 1   2614.1   28.6  21.180
    5    3    1 1   1116.5   12.8  21.137
    2    2    5 1   1357.7   20.3  20.967
    3    3    4 1   2054.5   30.4  20.957
    5    1    3 1    178.6    2.5  20.884
    6    0    0 1    519.8   10.9  20.874
    4    4    2 1    243.5    5.2  20.750
    3    0    5 1    291.4    4.9  20.679
    6    1    0 1   3225.5   43.1  20.589
    6    0    1 1   1994.2   26.9  20.560
    3    1    5 1    304.8    3.7  20.403
    4    2    4 1   1366.9   15.3  20.394
    6    1    1 1    678.3    6.9  20.288
    5    3    2 1   1493.4   16.7  20.203
    5    2    3 1   1913.1   19.6  20.064
    6    2    0 1    869.5   12.4  19.802
    6    0    2 1    425.5    6.5  19.697
    3    2    5 1   1528.0   16.5  19.636
    1    0    6 1    129.7    2.9  19.593
    5    4    0 1   1004.6   17.3  19.559
    6    2    1 1   1412.5   13.7  19.534
    6    1    2 1   1963.7   18.8  19.458
    1    1    6 1   1373.3   18.7  19.358
    4    4    3 1   2253.0   35.2  19.333
    5    4    1 1   1046.6   12.8  19.301
    5    0    4 1    188.6    4.3  19.163
    4    3    4 1   2486.7   25.9  19.163
    4    0    5 1    998.9   16.2  18.950
    5    1    4 1   2280.8   22.6  18.942
    2    0    6 1    256.0    5.2  18.911
    5    3    3 1    998.4   11.5  18.888
    6    2    2 1   1095.1   11.0  18.789
    4    1    5 1   2000.8   20.9  18.737
    2    1    6 1    360.0    4.8  18.699
    6    3    0 1   2463.3   38.4  18.670
    5    4    2 1    776.5    9.5  18.582
    3    3    5 1    654.3   11.1  18.531
    6    0    3 1   2319.8   31.1  18.473
    6    3    1 1    772.0    9.1  18.444
    5    2    4 1   2091.1   21.3  18.324
