       0,  89.7,  90.5,  90.0,  90.1,  90.1,  90.1,  90.0,  90.4,  90.1,  89.4,  89.9,  90.7,  89.8,  90.2,  89.4,  89.7,  90.6,  90.2,  90.0,  89.8,  89.9,  90.1,  90.3,  89.8,  90.3,  89.8,  90.0,  89.8,  90.1,  89.6,  90.0,  89.6,  90.2,  90.1,  89.8,  90.2,  90.0,  89.8,  89.5,  89.8,  90.3,  90.3,  90.0,  90.4,  90.5,  90.5,  90.0,  90.4,  90.5,  89.8,  89.0,  90.3,  90.0,  89.8,  90.3,  90.3,  90.2,  89.6,  90.2,  90.2,  89.8,  89.3,  90.1,  89.6,  89.4,  90.0,  89.7,  90.3,  90.1,  90.3,  89.3,  90.4,  90.1,  89.4,  90.0,  90.0,  90.5,  90.5,  89.7,  90.4,  89.6,  90.2,  90.2,  89.8,  89.9,  89.5,  90.2,  89.9,  90.3,  90.3,  90.6,  89.7,  90.3,  89.8,  89.8,  90.6,  89.8,  90.1,  90.2,  89.5
      20,  90.4,  90.0,  90.1,  90.0,  90.4,  89.3,  90.1,  90.1,  89.5,  89.8,  90.5,  90.3,  90.0,  90.0,  90.0,  90.4,  89.4,  90.5,  89.8,  89.9,  89.9,  89.7,  89.4,  90.1,  89.9,  90.2,  89.3,  89.9,  90.3,  90.0,  90.0,  90.6,  89.4,  90.9,  90.2,  90.6,  89.4,  89.8,  90.1,  90.0,  89.4,  89.9,  89.9,  90.5,  89.3,  90.0,  89.3,  90.5,  90.4,  89.5,  90.0,  90.0,  90.2,  89.5,  89.8,  89.7,  90.2,  90.2,  90.0,  90.8,  89.9,  89.9,  89.5,  90.2,  89.9,  90.2,  90.4,  90.5,  90.0,  90.2,  89.9,  89.7,  90.8,  90.1,  89.3,  90.6,  89.9,  90.6,  90.7,  89.9,  90.8,  90.3,  90.2,  89.6,  90.4,  89.9,  89.5,  89.6,  89.9,  90.1,  90.6,  89.9,  90.3,  89.5,  89.9,  90.4,  89.7,  89.7,  89.8,  89.1
      40,  89.3,  90.6,  89.5,  89.3,  89.5,  90.1,  89.7,  90.4,  89.8,  91.2,  89.7,  90.4,  90.0,  90.0,  89.5,  90.2,  89.7,  90.1,  89.7,  89.7,  89.8,  90.0,  90.1,  89.9,  90.9,  89.2,  90.3,  89.3,  90.1,  89.9,  90.2,  90.2,  88.9,  89.6,  90.2,  90.4,  89.5,  89.7,  90.1,  90.6,  89.8,  89.1,  90.5,  90.2,  89.4,  89.7,  89.8,  89.7,  90.4,  90.0,  90.6,  89.1,  89.9,  90.7,  90.0,  89.9,  90.2,  89.3,  89.6,  92.1,  90.4,  89.9,  89.4,  90.1,  90.2,  89.6,  91.8,  90.1,  90.3,  89.5,  90.0,  90.4,  90.7,  89.7,  90.2,  89.5,  90.7,  90.5,  90.0,  90.3,  89.9,  90.1,  89.2,  90.2,  90.0,  88.9,  90.0,  89.7,  89.9,  89.6,  90.2,  89.0,  89.9,  90.3,  90.5,  90.3,  90.3,  89.3,  89.2,  89.6
      60,  90.1,  91.0,  89.5,  89.7,  90.6,  90.5,  90.2,  89.9,  89.9,  89.9,  89.9,  90.0,  90.4,  89.4,  90.2,  90.8,  89.2,  89.9,  90.7,  89.7,  90.0,  89.6,  89.2,  90.2,  90.6,  90.1,  90.6,  89.5,  89.6,  89.5,  90.3,  90.3,  89.9,  89.4,  90.4,  91.2,  90.7,  90.2,  86.3,  90.3,  89.6,  89.4,  90.1,  90.1,  89.7,  89.8,  89.9,  90.0,  90.1,  90.5,  90.4,  89.2,  89.9,  90.4,  90.4,  90.4,  90.3,  88.7,  89.2,  90.9,  90.3,  89.9,  89.7,  90.1,  91.1,  90.6,  91.7,  90.3,  90.0,  89.5,  90.4,  90.3,  90.2,  90.4,  89.9,  89.5,  89.5,  89.9,  90.3,  89.8,  90.2,  90.2,  89.3,  89.4,  90.0,  88.6,  89.6,  90.0,  89.5,  89.6,  89.5,  89.3,  90.2,  89.9,  90.9,  90.4,  91.2,  90.3,  89.9,  89.8
      80,  90.6,  90.5,  90.0,  89.4,  90.8,  89.8,  90.0,  90.3,  89.7,  91.3,  90.3,  89.4,  90.5,  90.0,  90.4,  90.7,  91.0,  89.2,  89.3,  89.5,  90.4,  90.4,  89.2,  89.9,  91.2,  89.8,  89.7,  89.5,  90.1,  90.2,  90.2,  90.5,  88.3,  90.3,  90.1,  91.3,  90.4,  91.4,  84.8,  90.0,  89.6,  89.7,  90.1,  90.5,  90.1,  89.4,  89.9,  90.2,  90.6,  90.2,  89.9,  89.3,  89.5,  90.1,  89.9,  90.7,  90.0,  90.3,  90.1,  92.4,  90.4,  89.4,  89.9,  90.8,  89.3,  90.6,  91.7,  89.3,  90.4,  88.8,  89.9,  90.1,  91.0,  90.0,  89.4,  89.7,  89.3,  89.5,  90.9,  89.6,  90.1,  90.5,  89.5,  88.9,  89.7,  89.6,  90.6,  89.8,  90.2,  90.2,  90.1,  89.1,  89.6,  90.9,  90.9,  90.1,  89.7,  89.9,  90.1,  90.2
     100,  89.8,  90.5,  89.3,  90.3,  90.6,  89.6,  90.5,  90.1,  90.0,  90.9,  90.1,  89.0,  90.0,  90.0,  89.9,  91.0,  90.3,  90.4,  89.8,  90.1,  89.8,  90.1,  89.3,  89.6,  90.8,  90.0,  89.9,  89.9,  89.7,  90.3,  90.2,  90.1,  86.2,  89.5,  90.4,  90.7,  90.6,  90.9,  80.4,  90.0,  89.9,  90.4,  90.1,  90.2,  90.2,  88.4,  90.7,  89.7,  89.5,  90.4,  90.6,  89.4,  89.6,  89.8,  89.9,  90.1,  90.0,  88.0,  88.3,  91.0,  90.1,  89.4,  90.5,  89.9,  91.4,  90.7,  93.7,  89.8,  89.9,  89.9,  90.1,  90.1,  91.5,  89.7,  89.7,  89.9,  89.5,  89.8,  90.9,  89.7,  90.3,  90.2,  90.7,  89.5,  90.1,  89.2,  90.4,  91.0,  89.8,  90.6,  90.0,  88.2,  88.7,  89.8,  90.2,  90.0,  90.5,  90.3,  88.6,  90.4
     120,  89.8,  90.1,  90.3,  90.1,  90.1,  89.7,  90.2,  90.0,  89.5,  91.5,  90.2,  89.4,  90.1,  89.9,  89.7,  91.4,  90.6,  90.3,  89.7,  90.2,  90.2,  89.5,  89.5,  90.1,  92.2,  89.3,  89.7,  90.6,  90.7,  90.4,  89.7,  90.9,  84.4,  88.5,  90.2,  90.2,  90.3,  91.0,  81.9,  90.9,  89.9,  89.9,  90.2,  90.6,  89.7,  87.4,  90.6,  90.7,  90.5,  89.5,  90.5,  89.2,  89.3,  89.7,  90.3,  89.7,  89.5,  85.9,  87.3,  91.4,  89.7,  89.3,  90.4,  90.2,  91.2,  93.0,  91.2,  89.3,  90.4,  89.6,  90.1,  89.5,  92.1,  89.8,  89.9,  89.9,  89.6,  90.2,  90.8,  89.7,  90.1,  89.8,  90.4,  89.5,  90.2,  88.7,  90.3,  90.8,  89.7,  90.8,  90.1,  89.3,  89.4,  90.1,  90.1,  90.1,  90.5,  90.0,  88.6,  90.3
     140,  89.9,  90.7,  89.8,  90.4,  91.5,  89.8,  90.6,  90.2,  89.4,  90.7,  90.3,  90.3,  89.8,  89.6,  89.6,  91.9,  90.2,  90.2,  89.3,  90.1,  90.1,  89.8,  90.9,  89.4,  92.5,  89.6,  90.0,  90.2,  89.7,  90.4,  90.4,  90.2,  81.1,  90.7,  90.6,  88.7,  89.8,  90.1,  83.4,  90.8,  90.0,  90.6,  90.3,  89.9,  90.3,  89.0,  90.9,  90.1,  89.4,  90.0,  89.9,  89.7,  90.0,  90.2,  89.8,  89.4,  90.1,  81.1,  88.6,  90.9,  89.7,  90.0,  90.4,  90.0,  88.0,  90.8,  90.7,  90.1,  90.3,  89.0,  90.4,  90.2,  92.2,  90.0,  90.6,  90.4,  89.8,  89.6,  90.3,  89.2,  90.2,  90.7,  90.4,  89.8,  90.2,  90.9,  90.3,  88.2,  89.4,  90.6,  90.0,  89.4,  89.8,  90.6,  90.3,  91.1,  89.9,  89.6,  89.1,  89.9
     160,  89.9,  89.8,  89.7,  90.3,  91.1,  89.6,  89.7,  90.7,  89.6,  91.2,  89.9,  89.9,  90.2,  89.8,  90.7,  92.0,  91.2,  89.7,  90.2,  90.3,  89.7,  90.3,  89.7,  88.8,  91.6,  90.0,  89.6,  90.1,  89.9,  89.8,  89.7,  90.9,  82.3,  90.5,  90.5,  89.9,  90.7,  88.5,  86.3,  90.5,  89.1,  88.8,  90.7,  89.8,  89.9,  88.4,  90.5,  90.0,  90.3,  90.6,  89.8,  89.8,  90.2,  90.1,  89.6,  89.9,  89.3,  80.5,  90.9,  90.4,  90.0,  89.1,  90.3,  90.2,  88.8,  91.6,  92.6,  89.4,  90.0,  89.0,  89.4,  90.3,  94.3,  90.4,  90.0,  89.8,  89.5,  89.4,  90.7,  90.7,  90.5,  90.2,  90.2,  90.2,  89.7,  91.1,  89.8,  86.1,  90.3,  89.8,  89.9,  89.6,  89.2,  90.0,  89.6,  90.3,  90.2,  89.6,  88.9,  89.5
     180,  89.6,  90.1,  89.5,  90.4,  90.9,  90.3,  90.5,  90.6,  89.5,  91.6,  90.3,  89.9,  89.8,  89.5,  90.1,  92.0,  90.3,  89.9,  89.7,  89.9,  89.8,  89.7,  88.4,  89.4,  91.9,  89.6,  90.6,  90.1,  90.2,  90.4,  89.9,  90.3,  84.7,  89.2,  90.0,  89.5,  91.3,  89.3,  85.5,  89.9,  89.8,  88.8,  89.7,  90.1,  90.4,  89.0,  90.1,  89.5,  90.3,  90.5,  90.0,  90.6,  90.4,  90.3,  89.9,  89.3,  90.1,  78.8,  88.4,  90.8,  89.9,  88.9,  89.9,  89.8,  89.4,  91.2,  90.3,  89.8,  90.2,  89.7,  89.6,  89.6,  92.8,  89.0,  90.1,  90.5,  89.5,  91.7,  91.0,  89.3,  90.3,  90.8,  90.7,  89.8,  89.9,  90.3,  89.9,  84.2,  90.6,  90.1,  89.9,  90.5,  88.5,  89.9,  89.6,  89.8,  89.4,  89.6,  89.2,  90.1
     200,  90.1,  90.4,  89.5,  90.3,  90.6,  90.3,  91.7,  90.4,  89.5,  92.4,  90.6,  89.2,  89.8,  90.5,  89.9,  94.0,  89.7,  90.0,  90.4,  89.8,  90.1,  89.9,  90.5,  89.5,  92.2,  90.1,  90.0,  90.1,  89.8,  89.6,  89.4,  90.5,  81.4,  90.8,  89.7,  89.5,  90.9,  90.5,  84.2,  90.5,  89.7,  89.2,  89.8,  89.8,  90.0,  86.9,  90.1,  89.7,  90.5,  89.6,  90.0,  90.1,  89.8,  89.8,  89.1,  89.7,  90.1,  80.0,  87.2,  90.9,  90.3,  89.3,  90.2,  89.7,  89.9,  91.0,  91.9,  90.0,  90.1,  90.3,  90.2,  89.6,  93.1,  90.4,  90.3,  90.6,  90.4,  90.2,  90.4,  89.6,  90.5,  90.5,  90.2,  90.2,  90.0,  89.6,  90.5,  82.6,  90.3,  90.4,  90.4,  89.1,  89.8,  90.5,  89.0,  90.2,  89.8,  89.9,  89.8,  90.3
     220,  89.8,  89.6,  89.9,  90.3,  90.0,  90.5,  91.8,  90.3,  89.3,  91.2,  90.3,  87.9,  90.0,  89.5,  90.2,  92.7,  89.8,  90.2,  90.1,  89.2,  90.3,  89.8,  89.4,  89.8,  92.0,  90.3,  89.8,  89.9,  90.4,  89.9,  89.5,  90.7,  80.0,  89.6,  89.6,  88.8,  90.6,  90.3,  83.2,  90.5,  89.8,  89.7,  89.5,  90.6,  90.5,  86.2,  89.9,  90.5,  90.2,  90.3,  90.0,  89.6,  90.8,  90.2,  89.9,  90.4,  89.8,  79.9,  86.5,  91.6,  90.3,  89.4,  90.3,  90.1,  90.1,  91.2,  91.8,  89.1,  90.3,  89.4,  89.5,  90.4,  91.2,  90.1,  90.2,  89.4,  90.5,  90.0,  89.8,  90.4,  90.2,  90.7,  90.3,  88.3,  89.8,  90.8,  90.8,  80.9,  90.2,  90.3,  89.7,  89.6,  89.9,  89.5,  89.3,  89.6,  89.7,  90.4,  89.4,  89.7
     240,  90.3,  89.4,  89.9,  89.9,  90.3,  90.4,  92.1,  89.7,  89.3,  91.0,  89.7,  88.5,  90.5,  89.7,  89.9,  91.4,  89.6,  89.5,  90.2,  89.7,  89.4,  89.6,  89.3,  89.3,  93.8,  89.8,  90.2,  90.5,  90.2,  89.9,  89.3,  90.3,  78.0,  89.9,  89.0,  89.9,  91.4,  90.0,  81.4,  89.9,  90.2,  91.2,  89.6,  89.8,  90.0,  87.9,  89.4,  89.8,  90.7,  90.0,  90.5,  89.6,  89.8,  90.1,  89.7,  90.2,  89.6,  81.0,  86.6,  90.1,  90.2,  89.7,  89.7,  89.9,  89.5,  91.4,  92.0,  90.4,  89.4,  90.0,  89.6,  90.2,  92.2,  89.8,  89.9,  90.4,  90.3,  89.3,  90.0,  89.0,  89.9,  90.8,  90.5,  89.8,  89.9,  90.7,  89.9,  81.3,  89.2,  90.5,  90.5,  90.0,  90.0,  90.4,  90.1,  89.9,  89.7,  90.0,  88.8,  89.7
     260,  89.9,  90.3,  89.9,  90.3,  91.4,  90.3,  92.2,  89.8,  89.9,  91.1,  89.6,  88.4,  90.2,  89.8,  90.0,  90.9,  90.1,  90.0,  89.9,  89.5,  89.9,  90.1,  89.9,  89.3,  93.5,  89.4,  89.4,  89.8,  89.9,  90.1,  90.0,  90.4,  78.9,  89.6,  89.6,  89.8,  91.4,  89.6,  78.3,  89.4,  89.7,  91.1,  89.2,  90.0,  90.0,  88.9,  90.3,  90.4,  90.2,  90.4,  90.2,  90.0,  90.5,  89.8,  89.1,  90.3,  89.8,  85.0,  87.8,  90.9,  90.2,  90.2,  89.7,  89.7,  89.9,  91.8,  91.3,  90.0,  89.7,  90.5,  89.2,  90.1,  93.0,  90.2,  90.3,  90.3,  90.1,  90.2,  90.0,  90.7,  90.1,  90.4,  90.7,  90.4,  90.2,  89.5,  89.6,  82.1,  89.6,  90.1,  89.9,  90.0,  89.3,  90.7,  89.3,  90.3,  89.8,  90.4,  89.3,  89.9
     280,  90.5,  90.1,  89.6,  89.5,  90.4,  90.0,  92.5,  91.0,  89.5,  91.3,  90.3,  89.6,  90.3,  89.5,  90.4,  90.6,  90.0,  90.3,  90.4,  89.6,  90.0,  90.2,  88.1,  89.1,  92.5,  89.9,  89.8,  90.2,  90.1,  90.2,  89.7,  90.2,  81.1,  90.1,  88.7,  90.4,  89.5,  90.5,  81.1,  89.5,  90.1,  90.9,  90.5,  89.9,  90.2,  88.6,  90.1,  89.3,  90.1,  89.6,  90.5,  89.6,  90.4,  89.8,  90.1,  90.8,  89.7,  85.1,  87.8,  91.2,  90.4,  89.8,  90.0,  89.4,  90.9,  91.8,  91.4,  89.5,  89.5,  89.7,  90.0,  90.3,  92.6,  91.2,  90.7,  89.9,  90.3,  88.9,  89.7,  90.1,  89.9,  90.4,  91.5,  89.1,  90.3,  89.8,  90.3,  83.4,  89.8,  90.7,  90.3,  89.3,  90.8,  89.2,  89.5,  90.1,  89.8,  90.7,  89.8,  90.2
