    1    0    0 0      0.0    0.0 149.198
    1    0    1 1     25.4   16.4 107.075
    1    1    0 0      0.0    0.0  86.140
    1    1    1 1   8453.3  872.8  75.150
    2    0    0 1  12922.3  827.3  74.599
    1    0    2 1   2754.6  119.5  68.340
    2    0    1 1  10097.1  530.8  67.117
    1    1    2 1  11994.3  292.8  57.357
    2    1    0 1   5672.7  162.4  56.392
    2    0    2 1   3223.6   91.2  53.537
    2    1    1 1   6236.6  114.7  52.943
    3    0    0 1   2418.8  108.6  49.733
    1    0    3 1   5877.0  151.1  48.472
    3    0    1 1   3251.7   89.7  47.319
    2    1    2 1   5796.0  102.1  45.471
    1    1    3 1   2440.3   70.1  44.046
    2    2    0 1   2269.8  104.2  43.070
    2    0    3 1   4277.8  113.6  42.243
    3    0    2 1   1323.1   51.9  41.757
    2    2    1 1   2260.2   74.3  41.473
    3    1    0 1   4826.3  133.4  41.380
    3    1    1 1   5376.3   96.6  39.958
    2    1    3 1   5292.1   94.2  37.928
    2    2    2 1   1526.6   61.9  37.575
    4    0    0 1   1929.4  103.2  37.299
    1    0    4 1   4017.7  112.0  37.224
    3    1    2 1   2044.0   45.4  36.437
    4    0    1 1    319.1   35.5  36.248
    3    0    3 1   4025.6  102.2  35.692
    1    1    4 1   7257.3  182.6  35.103
    3    2    0 1    277.1   31.8  34.228
    2    0    4 1   3906.0  102.0  34.170
    4    0    2 1   1362.7   51.0  33.558
    3    2    1 1   1475.8   36.7  33.411
    2    2    3 1   3505.3   97.4  32.973
    4    1    0 1   7586.8  192.7  32.558
    3    1    3 1   3165.8   60.6  32.196
    4    1    1 1   2646.4   54.8  31.851
    2    1    4 1   4290.3   78.3  31.762
    3    2    2 1   1554.8   38.0  31.269
    3    0    4 1    628.0   43.2  30.414
    4    0    3 1   1328.4   48.4  30.158
    1    0    5 1   3613.1   98.0  30.119
    4    1    2 1   4539.1   84.0  29.980
    5    0    0 1    640.8   57.6  29.840
    5    0    1 1    546.0   42.5  29.293
    1    1    5 1   3228.7   89.0  28.961
    3    3    0 1   2256.8   95.8  28.713
    2    2    4 1    263.2   43.1  28.679
    3    2    3 1   1048.3   33.2  28.464
    2    0    5 1   3883.5  101.8  28.431
    3    3    1 1    139.0   49.0  28.225
    4    2    0 1   3121.5   82.9  28.196
    3    1    4 1   2037.0   44.4  28.163
    5    0    2 1    467.4   33.4  27.818
    4    2    1 1    391.7   29.4  27.733
    4    1    3 1   3097.7   59.6  27.482
    2    1    5 1   5012.4   90.0  26.998
    3    3    2 1   1992.5   62.5  26.898
    5    1    0 1   5075.3  132.9  26.797
    4    0    4 1   1096.8   45.3  26.769
    4    2    2 1   1444.5   37.1  26.472
    5    1    1 1    970.9   32.4  26.399
    3    0    5 1   3669.8   96.5  26.155
    5    0    3 1    376.1   40.4  25.787
    0    0    6 1    877.8  120.6  25.626
    3    2    4 1    247.4   27.6  25.563
