    0    0    0 0       0.000 999.000
    0    0    1 0       0.000 102.886
    0    1    0 0       0.000  80.351
    0    1    1 0       0.000  63.327
    1    0    0 0       0.000  59.914
    1    0    1 0       0.000  51.775
    0    0    2 0       0.000  51.443
    1    1    0 0       0.000  48.031
    1    1    1 0       0.000  43.522
    0    1    2 0       0.000  43.324
    0    2    0 0       0.000  40.175
    1    0    2 0       0.000  39.030
    0    2    1 0       0.000  37.424
    1    1    2 0       0.000  35.107
    0    0    3 0       0.000  34.295
    1    2    0 0       0.000  33.368
    1    2    1 0       0.000  31.740
    0    2    2 0       0.000  31.664
    0    1    3 0       0.000  31.542
    2    0    0 0       0.000  29.957
    1    0    3 0       0.000  29.764
    2    0    1 0       0.000  28.763
    2    1    0 0       0.000  28.070
    1    2    2 0       0.000  27.995
    1    1    3 0       0.000  27.911
    2    1    1 0       0.000  27.080
    0    3    0 0       0.000  26.784
    0    2    3 0       0.000  26.084
    0    3    1 0       0.000  25.920
    2    0    2 0       0.000  25.887
    0    0    4 0       0.000  25.721
    2    1    2 0       0.000  24.640
    0    1    4 0       0.000  24.497
    1    3    0 0       0.000  24.452
    2    2    0 0       0.000  24.016
    1    2    3 0       0.000  23.916
    1    3    1 0       0.000  23.789
    0    3    2 0       0.000  23.757
    1    0    4 0       0.000  23.635
    2    2    1 0       0.000  23.387
    1    1    4 0       0.000  22.675
    2    0    3 0       0.000  22.562
    1    3    2 0       0.000  22.084
    2    2    2 0       0.000  21.761
    2    1    3 0       0.000  21.722
    0    2    4 0       0.000  21.662
    0    3    3 0       0.000  21.109
    0    0    5 0       0.000  20.577
    1    2    4 0       0.000  20.372
    0    4    0 0       0.000  20.088
    3    0    0 0       0.000  19.971
    2    3    0 1     259.700  19.967
    0    1    5 1     289.000  19.934
    1    3    3 1     351.000  19.909
    0    4    1 1      75.900  19.715
    2    2    3 1     496.600  19.672
    3    0    1 1     299.200  19.605
    2    3    1 1     117.100  19.601
    2    0    4 1     114.000  19.515
    1    0    5 1     135.400  19.461
    3    1    0 1      62.500  19.382
    3    1    1 1     341.300  19.047
    1    4    0 1      27.300  19.046
    2    1    4 1     478.700  18.964
    1    1    5 1     250.700  18.915
    1    4    1 1     275.100  18.728
    0    4    2 1     306.400  18.712
    3    0    2 1     291.000  18.618
    2    3    2 1     482.500  18.614
    0    3    4 1     412.500  18.552
    0    2    5 1     344.500  18.315
    3    1    2 1     359.300  18.137
    3    2    0 1     296.700  17.884
    1    4    2 1     520.200  17.861
    1    3    4 1     332.000  17.722
    3    2    1 1     222.100  17.619
    2    2    4 1     536.500  17.554
    1    2    5 1     509.200  17.515
    0    4    3 1     119.900  17.333
    3    0    3 2     146.000  17.258
    2    3    3 1     150.200  17.255
    0    0    6 1      55.000  17.148
    2    0    5 1     267.900  16.961
    3    2    2 1     319.600  16.892
    3    1    3 2     275.700  16.873
    0    1    6 1     207.000  16.770
    2    4    0 1     135.500  16.684
    1    4    3 1      92.500  16.650
    2    1    5 1      68.700  16.596
    1    0    6 1     109.400  16.486
    2    4    1 1     332.300  16.469
    0    3    5 1     342.400  16.318
    1    1    6 1     380.900  16.149
    0    5    0 0       0.000  16.070
    3    3    0 1     259.700  16.010
    0    5    1 1     545.000  15.878
    2    4    2 1     175.500  15.870
    3    2    3 1     351.200  15.857
    0    4    4 1     574.300  15.832
    3    3    1 1      38.200  15.820
    3    0    4 1     414.300  15.775
    2    3    4 1     439.900  15.772
    0    2    6 1     368.500  15.771
    1    3    5 1     488.300  15.744
    2    2    5 1     285.600  15.626
    1    5    0 1      18.400  15.522
    3    1    4 1     223.400  15.479
    1    5    1 1      61.900  15.348
    0    5    2 1     273.600  15.339
    1    4    4 1      83.300  15.306
    3    3    2 1     224.100  15.287
    1    2    6 1     168.000  15.252
    2    4    3 1     402.600  15.003
    4    0    0 1     214.300  14.979
    2    0    6 1     411.700  14.882
    1    5    2 1     266.100  14.860
    4    0    1 1     362.100  14.822
    4    1    0 1      19.400  14.725
    0    0    7 0       0.000  14.698
    3    2    4 1      79.300  14.683
    2    1    6 1     336.700  14.633
    4    1    1 1     283.100  14.576
    0    5    3 1      11.000  14.552
    3    3    3 1     548.300  14.507
    0    1    7 1     279.900  14.458
    0    3    6 1     190.500  14.441
    4    0    2 1     202.400  14.381
    0    4    5 2     359.300  14.374
    3    0    5 1     352.400  14.331
    2    3    5 1     483.100  14.330
    1    0    7 1     118.900  14.275
    3    4    0 1      92.100  14.163
    2    5    0 1     130.600  14.161
    4    1    2 2     508.100  14.156
    1    5    3 1     180.700  14.141
    3    1    5 1     147.900  14.109
    1    1    7 1     635.400  14.055
    1    3    6 1     277.600  14.039
    4    2    0 1     157.600  14.035
    3    4    1 1     317.700  14.031
    2    5    1 1      88.200  14.029
    2    4    4 1     341.100  13.997
    1    4    5 1     274.600  13.977
    2    2    6 1     236.100  13.955
    4    2    1 1      54.800  13.906
    0    2    7 1      57.000  13.803
    4    0    3 1      28.300  13.726
    3    4    2 1     425.600  13.655
    2    5    2 1     204.200  13.653
    0    5    4 1     192.300  13.629
    3    3    4 1     181.400  13.592
    4    2    2 1     452.800  13.540
    4    1    3 1     404.900  13.530
    3    2    5 1     182.300  13.498
    1    2    7 1     549.300  13.451
    0    6    0 1     111.900  13.392
    1    5    4 1     154.500  13.289
    0    6    1 1     373.700  13.280
    2    0    7 1     292.000  13.195
    3    4    3 1     444.500  13.091
    2    5    3 1     194.800  13.089
    4    3    0 1     435.100  13.073
    1    6    0 1      68.300  13.069
    0    4    6 1     271.600  13.042
    2    1    7 1     403.100  13.021
    3    0    6 1     310.800  13.010
    2    3    6 1     261.900  13.009
    4    2    3 1     239.900  12.989
    4    3    1 1     419.300  12.969
    1    6    1 1     435.800  12.965
    0    6    2 1     662.000  12.960
    2    4    5 1     305.900  12.959
    4    0    4 1      78.400  12.944
    0    3    7 1     335.600  12.885
    0    0    8 1     313.900  12.861
    3    1    6 1     106.500  12.843
    4    1    4 1     305.700  12.779
    1    4    6 1     230.600  12.744
    0    1    8 2     837.300  12.699
    4    3    2 2     406.100  12.670
    1    6    2 1     335.200  12.667
    0    5    5 1      59.500  12.665
    3    3    5 1     392.500  12.636
    1    3    7 1     489.700  12.597
    1    0    8 1     262.000  12.574
    2    2    7 1     353.300  12.536
    3    5    0 2     357.600  12.520
    0    6    3 1      71.200  12.475
    3    5    1 1     301.300  12.429
    1    1    8 1     274.500  12.423
    3    4    4 1     406.100  12.406
    2    5    4 1     403.200  12.405
    1    5    5 1     361.700  12.392
    3    2    6 1     533.600  12.377
    4    2    4 1     169.700  12.320
    0    2    8 1     175.500  12.248
    2    6    0 1     330.300  12.226
    4    3    3 1     267.100  12.216
    1    6    3 1     409.300  12.213
    3    5    2 1     193.900  12.165
    2    6    1 1     286.900  12.140
    4    0    5 1     200.300  12.110
    4    4    0 2     236.600  12.008
    1    2    8 2     628.800  12.000
    5    0    0 0       0.000  11.983
    4    1    5 1     133.200  11.975
    2    4    6 1     337.200  11.958
    4    4    1 1     607.100  11.927
    5    0    1 1     374.100  11.902
    2    6    2 1     281.500  11.895
    0    6    4 1     244.500  11.878
    0    4    7 1     330.000  11.862
    5    1    0 1     453.300  11.852
    3    0    7 1     251.100  11.838
    2    3    7 1     436.600  11.837
    2    0    8 1     565.500  11.818
    5    1    1 1     388.800  11.774
    3    5    3 1     505.900  11.761
    0    5    6 1     597.300  11.726
    3    1    7 1     519.700  11.711
    3    3    6 1     122.000  11.702
    4    4    2 1     160.500  11.693
    2    1    8 1     250.000  11.692
    5    0    2 1     197.600  11.670
    3    4    5 1     396.600  11.667
    2    5    5 1     519.300  11.666
    4    3    4 1     423.200  11.654
    1    6    4 1     179.300  11.652
    1    4    7 1     611.900  11.636
    4    2    5 1     539.800  11.595
    0    3    8 1      92.500  11.593
    5    1    2 1     570.800  11.549
    2    6    3 2     619.300  11.516
    1    5    6 1     425.700  11.507
    5    2    0 1     204.100  11.483
    0    7    0 0       0.000  11.479
    0    0    9 0       0.000  11.432
    5    2    1 1     537.500  11.412
    0    7    1 1      61.600  11.408
    1    3    8 1     898.800  11.382
    3    2    7 1     224.100  11.355
    2    2    8 1     211.300  11.337
    4    4    3 1     505.100  11.333
    0    1    9 1     176.500  11.318
    5    0    3 1     308.400  11.312
    4    0    6 1     569.100  11.281
    1    7    0 1     837.200  11.274
    3    5    4 1     189.700  11.257
    1    0    9 1     407.900  11.229
    0    6    5 1     124.400  11.224
    5    2    2 1     373.200  11.207
    1    7    1 1     187.900  11.207
    0    7    2 1     351.000  11.203
    5    1    3 2     134.000  11.202
    4    1    6 1     603.100  11.171
    3    6    0 1     169.300  11.123
    1    1    9 1     594.500  11.121
    3    6    1 1     391.400  11.058
    2    6    4 1     760.200  11.042
    4    3    5 1     157.100  11.034
    1    6    5 1     549.300  11.032
    2    4    7 1     174.900  11.029
    1    7    2 1     493.000  11.012
    0    2    9 2     808.300  10.995
    4    5    0 1     284.200  10.957
    5    3    0 1     478.200  10.938
    3    4    6 1     348.500  10.920
    2    5    6 1     308.100  10.919
    4    5    1 1     376.000  10.895
    5    2    3 1     281.000  10.889
    0    7    3 1     431.200  10.885
    4    4    4 1     284.500  10.881
    5    3    1 1     575.500  10.877
    3    6    2 1     330.000  10.871
    5    0    4 1     443.600  10.862
    4    2    6 1     106.500  10.861
    0    5    7 1     400.100  10.846
    0    4    8 1     135.300  10.831
    3    3    7 1     314.500  10.827
    1    2    9 1     499.900  10.815
    3    0    8 1     167.100  10.813
    2    3    8 1     508.200  10.812
    5    1    4 1     140.000  10.764
    2    7    0 1     419.900  10.719
    4    5    2 1     606.500  10.717
    3    1    8 1     467.700  10.716
    1    7    3 1     228.500  10.710
    5    3    2 1     284.800  10.699
    3    5    5 1     343.600  10.696
    2    0    9 1      31.700  10.681
    1    5    7 1     352.600  10.672
    2    7    1 1     145.000  10.661
    1    4    8 1     819.200  10.658
    2    1    9 1     425.600  10.587
    3    6    3 1     251.900  10.580
    0    6    6 1     249.600  10.555
    0    3    9 1     878.600  10.514
    2    6    5 1     190.100  10.511
    2    7    2 1     111.600  10.493
    4    0    7 1     637.700  10.491
    5    2    4 1     284.900  10.485
    0    7    4 1     322.800  10.482
    3    2    8 1     599.100  10.441
    4    5    3 1     242.200  10.437
    5    3    3 1     215.800  10.421
    4    1    7 1     568.600  10.403
    4    3    6 2     188.100  10.396
    1    6    6 1     343.400  10.394
    4    4    5 1     259.600  10.371
    1    3    9 1     606.000  10.356
    5    0    5 1     426.200  10.355
    1    7    4 1     350.600  10.325
    2    2    9 1     408.200  10.322
    5    4    0 1     380.200  10.291
    0    0   10 1     339.800  10.289
    5    1    5 1     459.500  10.270
    5    4    1 1     263.900  10.240
    2    7    3 1     840.900  10.231
    3    6    4 1     409.900  10.209
    0    1   10 1     157.100  10.205
    3    4    7 1     378.900  10.199
    2    5    7 1     502.400  10.198
    2    4    8 1     562.000  10.186
    4    2    7 1     453.400  10.150
    1    0   10 1     357.300  10.140
    3    5    6 2     356.500  10.112
    5    4    2 1     595.300  10.091
    4    5    4 1     637.800  10.081
    5    3    4 1     510.100  10.066
    1    1   10 1     377.800  10.060
    0    8    0 1     382.600  10.044
    0    5    8 1     376.600  10.041
    5    2    5 1     386.200  10.027
    3    3    8 0       0.000  10.027
    0    7    5 1      90.100  10.024
    0    8    1 1      53.000   9.996
    6    0    0 1     222.900   9.986
    4    6    0 1     357.400   9.983
    0    2   10 1     754.200   9.967
    2    6    6 1     433.400   9.955
    3    7    0 1     411.200   9.952
    6    0    1 1     243.200   9.939
    4    6    1 1     615.200   9.937
    0    4    9 1     664.200   9.936
    3    0    9 2      66.600   9.921
    2    3    9 1     817.300   9.921
    6    1    0 1     337.600   9.909
    3    7    1 1     406.200   9.906
    1    8    0 1     184.600   9.906
    1    5    8 1     281.600   9.903
    0    6    7 1     679.800   9.899
    2    7    4 1     700.600   9.894
    1    7    5 1     273.600   9.887
    6    1    1 1     587.000   9.864
    1    8    1 1     764.000   9.860
    0    8    2 1     124.900   9.858
    5    4    3 1     528.500   9.857
    3    1    9 1     572.900   9.847
    4    4    6 1     219.300   9.836
    1    2   10 1     258.100   9.832
    5    0    6 1     505.700   9.822
    6    0    2 1     563.200   9.803
    1    4    9 1     368.000   9.802
    4    6    2 1     268.800   9.801
    3    6    5 1     271.700   9.785
    3    7    2 1     332.200   9.771
    4    3    7 1     231.700   9.768
    1    6    7 2     468.500   9.767
    4    0    8 1     590.500   9.758
    5    1    6 1     352.700   9.750
    2    0   10 1     340.500   9.731
    6    1    2 1     347.100   9.731
    1    8    2 2     614.900   9.727
    6    2    0 1     898.300   9.691
    4    1    8 1     537.600   9.686
    4    5    5 1      75.000   9.671
    2    1   10 1     400.900   9.660
    5    3    5 1     249.000   9.658
    6    2    1 1     408.100   9.648
    0    8    3 1     756.600   9.639
    3    2    9 1     333.400   9.632
    5    5    0 1     111.200   9.606
    0    3   10 1     990.800   9.604
    6    0    3 1     332.000   9.588
    4    6    3 1     480.800   9.586
    5    5    1 1     302.800   9.565
    3    7    3 1     308.200   9.558
    5    4    4 1     274.400   9.555
    5    2    6 1     281.500   9.541
    0    7    6 1      34.300   9.539
    3    5    7 1     100.300   9.531
    6    2    2 1     206.700   9.523
    2    8    0 1      38.600   9.523
    3    4    8 1     116.900   9.521
    2    5    8 1     443.000   9.521
    6    1    3 1     628.700   9.520
    1    8    3 1     382.000   9.517
    2    7    5 1     226.400   9.506
    1    3   10 1     540.300   9.483
    2    8    1 1     222.400   9.482
    4    2    8 1     179.600   9.482
    2    2   10 1     442.100   9.457
    5    5    2 1     307.100   9.443
    2    4    9 1     589.200   9.430
    1    7    6 1     566.900   9.420
    2    6    7 1     438.200   9.399
    2    8    2 1     384.900   9.364
    6    3    0 1     657.800   9.357
    0    8    4 1     194.500   9.356
    0    0   11 0       0.000   9.353
    3    6    6 1     466.900   9.332
    6    2    3 1     350.500   9.326
    6    3    1 1     288.900   9.318
    0    5    9 1     155.400   9.315
    6    0    4 1     305.100   9.309
    4    6    4 1     381.300   9.307
    3    3    9 1     631.300   9.304
    4    4    7 1     317.400   9.299
    0    1   11 1     724.600   9.291
    5    0    7 1      42.000   9.287
    3    7    4 1     143.700   9.281
    0    6    8 1     133.600   9.276
    5    5    3 1     571.700   9.250
    6    1    4 1     186.600   9.247
    1    8    4 1     423.300   9.244
    1    0   11 1     221.000   9.241
    4    5    6 1     123.300   9.233
    5    1    7 1     286.700   9.226
    5    3    6 1      21.000   9.222
